Grid Size,Timings
64,5.016997717552829
128,4.316643903958327
256,3.731581695860971
512,3.0553654393343983
1024,2.6608352456398627
2048,1.9220090659799303
4096,1.5631373965169055
8192,1.550869799552845
16384,1.4127583307598883
